rel	units_total	units_kept	units_deleted	comment_lines_deleted	comment_lines_kept	physical_lines_removed	token_gate	note
CardEffect/AD1/Blue/AD1_011.cs	45	0	45	45	0	45	PASS	
CardEffect/AD1/Blue/AD1_012.cs	26	0	26	26	0	26	PASS	
CardEffect/AD1/Blue/AD1_013.cs	24	0	24	24	0	24	PASS	
CardEffect/AD1/Red/AD1_006.cs	54	0	54	54	0	54	PASS	
CardEffect/AD1/Red/AD1_025.cs	51	0	51	51	0	51	PASS	
CardEffect/BT1/Blue/BT1_003.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Blue/BT1_004.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Blue/BT1_029.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Blue/BT1_030.cs	9	0	9	9	0	9	PASS	
CardEffect/BT1/Blue/BT1_031.cs	4	0	4	4	0	4	PASS	
CardEffect/BT1/Blue/BT1_033.cs	4	0	4	4	0	4	PASS	
CardEffect/BT1/Blue/BT1_034.cs	0	0	0	0	0	0	NOOP	
CardEffect/BT1/Blue/BT1_035.cs	5	0	5	5	0	5	PASS	
CardEffect/BT1/Blue/BT1_036.cs	6	0	6	6	0	6	PASS	
CardEffect/BT1/Blue/BT1_039.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Blue/BT1_040.cs	13	0	13	13	0	13	PASS	
CardEffect/BT1/Blue/BT1_041.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Blue/BT1_043.cs	8	0	8	8	0	8	PASS	
CardEffect/BT1/Blue/BT1_044.cs	17	0	17	17	0	17	PASS	
CardEffect/BT1/Blue/BT1_086.cs	29	0	29	29	0	29	PASS	
CardEffect/BT1/Blue/BT1_096.cs	11	0	11	11	0	11	PASS	
CardEffect/BT1/Blue/BT1_097.cs	4	0	4	4	0	4	PASS	
CardEffect/BT1/Blue/BT1_098.cs	17	0	17	17	0	17	PASS	
CardEffect/BT1/Blue/BT1_099.cs	8	0	8	8	0	8	PASS	
CardEffect/BT1/Blue/BT1_100.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Blue/BT1_101.cs	14	0	14	14	0	14	PASS	
CardEffect/BT1/Blue/BT1_115.cs	10	0	10	10	0	10	PASS	
CardEffect/BT1/Green/BT1_007.cs	6	0	6	6	0	6	PASS	
CardEffect/BT1/Green/BT1_008.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Green/BT1_066.cs	9	0	9	9	0	9	PASS	
CardEffect/BT1/Green/BT1_067.cs	6	0	6	6	0	6	PASS	
CardEffect/BT1/Green/BT1_068.cs	9	0	9	9	0	9	PASS	
CardEffect/BT1/Green/BT1_070.cs	5	0	5	5	0	5	PASS	
CardEffect/BT1/Green/BT1_073.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Green/BT1_074.cs	6	0	6	6	0	6	PASS	
CardEffect/BT1/Green/BT1_076.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Green/BT1_077.cs	13	0	13	13	0	13	PASS	
CardEffect/BT1/Green/BT1_078.cs	32	0	32	32	0	32	PASS	
CardEffect/BT1/Green/BT1_079.cs	9	0	9	9	0	9	PASS	
CardEffect/BT1/Green/BT1_081.cs	14	0	14	14	0	14	PASS	
CardEffect/BT1/Green/BT1_082.cs	14	0	14	14	0	14	PASS	
CardEffect/BT1/Green/BT1_083.cs	8	0	8	8	0	8	PASS	
CardEffect/BT1/Green/BT1_088.cs	18	0	18	18	0	18	PASS	
CardEffect/BT1/Green/BT1_089.cs	36	0	36	36	0	36	PASS	
CardEffect/BT1/Green/BT1_108.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Green/BT1_109.cs	32	0	32	32	0	32	PASS	
CardEffect/BT1/Green/BT1_110.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Green/BT1_111.cs	9	0	9	9	0	9	PASS	
CardEffect/BT1/Green/BT1_112.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Green/BT1_113.cs	8	0	8	8	0	8	PASS	
CardEffect/BT1/Red/BT1_001.cs	8	0	8	8	0	8	PASS	
CardEffect/BT1/Red/BT1_002.cs	0	0	0	0	0	0	NOOP	
CardEffect/BT1/Red/BT1_010.cs	13	0	13	13	0	13	PASS	
CardEffect/BT1/Red/BT1_011.cs	26	0	26	26	0	26	PASS	
CardEffect/BT1/Red/BT1_012.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Red/BT1_015.cs	4	0	4	4	0	4	PASS	
CardEffect/BT1/Red/BT1_016.cs	4	0	4	4	0	4	PASS	
CardEffect/BT1/Red/BT1_017.cs	24	0	24	24	0	24	PASS	
CardEffect/BT1/Red/BT1_018.cs	0	0	0	0	0	0	NOOP	
CardEffect/BT1/Red/BT1_021.cs	18	0	18	18	0	18	PASS	
CardEffect/BT1/Red/BT1_022.cs	10	0	10	10	0	10	PASS	
CardEffect/BT1/Red/BT1_023.cs	14	0	14	14	0	14	PASS	
CardEffect/BT1/Red/BT1_025.cs	22	0	22	22	0	22	PASS	
CardEffect/BT1/Red/BT1_026.cs	4	0	4	4	0	4	PASS	
CardEffect/BT1/Red/BT1_085.cs	11	0	11	11	0	11	PASS	
CardEffect/BT1/Red/BT1_090.cs	13	0	13	13	0	13	PASS	
CardEffect/BT1/Red/BT1_091.cs	11	0	11	11	0	11	PASS	
CardEffect/BT1/Red/BT1_092.cs	19	0	19	19	0	19	PASS	
