relpath,layer,in_asis,in_tobe,pair_state,card_state
CardEffect/AD1/Black/AD1_023.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Blue/AD1_010.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Blue/AD1_011.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/AD1/Blue/AD1_012.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/AD1/Blue/AD1_013.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/AD1/Blue/AD1_014.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Blue/AD1_019.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Blue/AD1_020.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Blue/AD1_024.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Green/AD1_022.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Purple/AD1_018.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_001.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_002.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_003.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_004.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_005.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_006.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/AD1/Red/AD1_007.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_008.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_009.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Red/AD1_025.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/AD1/Yellow/AD1_015.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Yellow/AD1_016.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Yellow/AD1_017.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/AD1/Yellow/AD1_021.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT1/Blue/BT1_003.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_004.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_029.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_030.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_031.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_033.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_034.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_035.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Blue/BT1_036.cs,CardEffect,Y,Y,BOTH,IMPL
