layer,path,asis_lines,port_lines,review_status,reviewer,findings,date
mirror,Assets/Scripts/Script/CardController.cs,5988,6232,진행중,,,
mirror,Assets/Scripts/Script/Permanent.cs,4187,5890,진행중,,,
mirror,Assets/Scripts/Script/CardEffectCommons.cs,1448,3837,진행중,,,
mirror,Assets/Scripts/Script/CardSource.cs,4358,3018,,,,
mirror,Assets/Scripts/Script/CardEffectFactory.cs,1531,2370,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/NewModelContinuousScan.cs,-1,1701,,,,
mirror,Assets/Scripts/Script/AutoProcessing.cs,1107,1612,,,,
mirror,Assets/Scripts/Script/ICardEffect.cs,1291,1453,,,,
mirror,Assets/Scripts/Script/SelectDigiXrosClass.cs,1048,1070,,,,
mirror,Assets/Scripts/Script/Player.cs,1675,1025,,,,
mirror,Assets/Scripts/Script/TurnStateMachine.cs,3373,1012,,,,
mirror,Assets/Scripts/Script/AttackProcess.cs,628,913,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GetFromHashtable.cs,860,868,,,,
mirror,Assets/Scripts/Script/SelectCardEffect.cs,1026,851,,,,
mirror,Assets/Scripts/Script/CardObjectController.cs,1133,764,,,,
mirror,Assets/Scripts/Script/CEntity_EffectController.cs,286,763,,,,
mirror,Assets/Scripts/Script/SelectPermanentEffect.cs,1055,747,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/RevealLibrary.cs,792,738,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/DNADigivolveEffects.cs,674,729,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/RestrictionHelpers.cs,-1,729,,,,
mirror,Assets/Scripts/Script/CardEffectInterfaces.cs,548,700,,,,
mirror,Assets/Scripts/Script/SelectAssemblyClass.cs,358,541,,,,
mirror,Assets/Scripts/Script/SelectHandEffect.cs,942,518,,,,
mirror,Assets/Scripts/Script/SelectJogressEffect.cs,428,479,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/HashtableSetting.cs,333,444,,,,
mirror,Assets/Scripts/Script/SelectBurstDigivolutionEffect.cs,345,434,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnDeletion.cs,405,433,,,,
mirror,Assets/Scripts/Script/MultipleSkills.cs,437,419,,,,
mirror,Assets/Scripts/Script/SelectAttackEffect.cs,569,407,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/BlastDNADigivolution.cs,260,306,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangeSAttack.cs,272,282,,,,
mirror,Assets/Scripts/Script/SelectAppFusionEffect.cs,241,281,,,,
mirror,Assets/Scripts/Script/SelectCountEffect.cs,200,237,,,,
mirror,Assets/Scripts/Script/CheckEffectDisabledClass.cs,205,228,,,,
mirror,Assets/Scripts/Script/GManager.cs,672,224,,,,
mirror,Assets/Scripts/Script/PermanentEffectFactory.cs,163,223,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Partition.cs,175,204,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Alliance.cs,221,202,,,,
mirror,Assets/Scripts/Script/UserSelectionManager.cs,222,201,,,,
mirror,Assets/Scripts/Script/DataBase.cs,1019,195,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangePlayCost.cs,179,187,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Retaliation.cs,168,176,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Execute.cs,140,174,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Link.cs,155,173,,,,
mirror,Assets/Scripts/Script/GameContext.cs,186,170,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangeDP.cs,146,163,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotUnsuspend.cs,106,163,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Partition.cs,179,160,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/BlastDigivolution.cs,123,157,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangeLinkMax.cs,143,153,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Scapegoat.cs,142,151,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Vortex.cs,118,150,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangeDigivolutionCost.cs,138,144,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Overclock.cs,145,144,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Alliance.cs,127,140,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanentOrPlayer.cs,92,134,,,,
mirror,Assets/Scripts/Script/CardEffects/RestrictionCarriers.cs,-1,132,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenDeleteOpponentDigimon.cs,128,130,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/MindLink.cs,82,130,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/AddDigivolutionRequirement.cs,116,129,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Blitz.cs,118,129,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Blitz.cs,94,129,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Raid.cs,123,123,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/CanNotBlock.cs,113,121,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/CanNotDigivolve.cs,108,116,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/EffectChoiceHelpers.cs,-1,113,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotUnsuspend.cs,69,113,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotSuspend.cs,72,112,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/AddAppfusionMethod.cs,95,109,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenDeleteOpponentDigimonByBattle.cs,107,109,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/CanNotAttack.cs,100,108,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotSuspend.cs,69,108,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeLinkMax.cs,121,108,,,,
mirror,Assets/Scripts/Script/IEnumerableExtension.cs,99,106,,,,
mirror,Assets/Scripts/Script/SelectDNACondition.cs,90,106,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/StartOfMainAttack.cs,79,106,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Fortitude.cs,99,106,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Decoy.cs,96,105,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotAttack.cs,70,104,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeCostClass.cs,97,104,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Decode.cs,114,103,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/AddLinkRequirement.cs,96,102,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/VortexCanAttackPlayers.cs,92,102,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBlock.cs,54,102,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Pierce.cs,86,102,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeAttacked.cs,70,101,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangeOriginDP.cs,91,99,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Decode.cs,73,99,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeBlocked.cs,70,99,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeDeletedByEffect.cs,55,99,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Barrier.cs,88,97,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenWinBattle.cs,95,97,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Fragment.cs,86,96,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Pierce.cs,86,96,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotAttack.cs,72,96,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Blocker.cs,87,96,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Evade.cs,85,95,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CustomMessage.cs,92,95,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/MaterialSave.cs,122,95,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeDeletedByBattle.cs,56,93,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Progress.cs,82,92,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Raid.cs,83,92,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotBlock.cs,72,92,,,,
mirror,Assets/Scripts/Script/OptionalSkill.cs,146,91,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Jamming.cs,81,91,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNoReturnToDeck.cs,55,91,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotReturnToHand.cs,55,91,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Rush.cs,87,91,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ImmuneFromDPMinus.cs,55,90,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotBeDeletedByBattle.cs,57,89,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Barrier.cs,107,89,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Fragment.cs,83,89,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Fortitude.cs,78,88,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Iceclad.cs,87,88,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/ChangeCardDP.cs,76,86,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Evade.cs,85,86,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNoReturnToDeck.cs,62,85,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/CanNotReturnToHand.cs,57,85,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ImmuneFromDPMinus.cs,57,85,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/ArtsDigivolve.cs,61,84,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Blocker.cs,75,84,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Retaliation.cs,75,84,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/TamerBecomesDigimonThatCanNotDigivolve.cs,76,82,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Progress.cs,111,82,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenLinked.cs,79,81,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/MaterialSave.cs,69,80,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Overclock.cs,68,78,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Reboot.cs,68,78,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/TrashLinkedCards.cs,183,78,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Execute.cs,67,77,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Vortex.cs,67,77,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeLinkMaxClass.cs,72,76,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeSAttackClass.cs,72,76,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/CanNotBeDeletedByEffect.cs,68,75,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Iceclad.cs,66,75,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Rush.cs,66,75,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Collision.cs,64,73,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangeCardDP.cs,42,73,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Decoy.cs,71,73,,,,
