target_path,source_path,target_kind,decision,category,priority,status,message
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Black/Tamer/AD1_023.json,Assets/CardBaseEntity/AD1/Black/Tamer/AD1_023.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Black/Tamer/AD1_023_P1.json,Assets/CardBaseEntity/AD1/Black/Tamer/AD1_023_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_010.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_010.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_011.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_011.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_012.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_012.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_012_P1.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_012_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_013.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_013.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_014.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_014.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_014_P1.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_014_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_024.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_024.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_024_P1.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_024_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_024_P2.json,Assets/CardBaseEntity/AD1/Blue/Digimon/AD1_024_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Tamer/AD1_019.json,Assets/CardBaseEntity/AD1/Blue/Tamer/AD1_019.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Tamer/AD1_020.json,Assets/CardBaseEntity/AD1/Blue/Tamer/AD1_020.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Blue/Tamer/AD1_020_P1.json,Assets/CardBaseEntity/AD1/Blue/Tamer/AD1_020_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Green/AD1_022.json,Assets/CardBaseEntity/AD1/Green/AD1_022.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
